MELD_Split,MELD_Row_ID,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,match_status,match_score,match_text_score,meld_group_size,meld_group_utterance,a_scan_count,friends_utterance_id,friends_global_utterance_id,friends_speaker,friends_utterance
train,1,5550,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",Chandler,neutral,neutral,559,0,1,1,"00:01:19,037","00:01:25,417",exact,1.0000,1.0000,1,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",7,8,8,Chandler,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
train,2,5551,"Oh, yeah. Had that dream.",All,neutral,neutral,559,1,1,1,"00:01:25,627","00:01:27,169",exact,1.0000,1.0000,1,"Oh, yeah. Had that dream.",0,9,9,All,"Oh, yeah. Had that dream."
train,3,5552,"Then I look down, and I realize there's a phone... there.",Chandler,surprise,negative,559,2,1,1,"00:01:27,378","00:01:31,465",exact,1.0000,1.0000,1,"Then I look down, and I realize there's a phone... there.",0,10,10,Chandler,"Then I look down, and I realize there's a phone... there."
train,4,5553,Instead of...?,Joey,surprise,negative,559,3,1,1,"0:01:34,928","0:01:35,600",exact,1.0000,1.0000,1,Instead of...?,0,11,11,Joey,Instead of...?
train,5,5554,That's right.,Chandler,neutral,neutral,559,4,1,1,"0:01:35,600","0:01:36,892",exact,1.0000,1.0000,1,That's right.,0,12,12,Chandler,That's right.
train,6,5555,Never had that dream.,Joey,neutral,neutral,559,5,1,1,"0:01:37,055","0:01:37,973",exact,1.0000,1.0000,1,Never had that dream.,0,13,13,Joey,Never had that dream.
train,7,5556,No.,Phoebe,neutral,neutral,559,6,1,1,"0:01:37,973","0:01:38,629",exact,1.0000,1.0000,1,No.,0,14,14,Phoebe,No.
train,8,5557,"All of a sudden, the phone starts to ring.",Chandler,neutral,neutral,559,7,1,1,"00:01:38,723","00:01:42,851",fuzzy,0.9800,0.9400,1,"All of a sudden, the phone starts to ring.",0,15,15,Chandler,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
train,9,7646,"I don't want to be single, okay? I just... I just- I just wanna be married again!",Ross,sadness,negative,769,0,1,1,"00:03:22,660","00:03:25,829",exact,1.0000,1.0000,1,"I don't want to be single, okay? I just... I just- I just wanna be married again!",25,41,41,Ross,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
train,10,7647,And I just want a million dollars!,Chandler,fear,negative,769,1,1,1,"00:03:29,959","00:03:33,086",exact,1.0000,1.0000,1,And I just want a million dollars!,0,42,42,Chandler,And I just want a million dollars!
train,11,7648,Rachel?!,Monica,surprise,negative,769,2,1,1,"00:03:34,214","00:03:35,297",exact,1.0000,1.0000,1,Rachel?!,0,43,43,Monica,Rachel?!
test,1,209,Really? A purse?,Joey,surprise,positive,19,0,1,1,"00:04:43,666","00:04:45,033",unmatched,0.4945,0.4545,1,Really? A purse?,258,,,,
train,12,9633,"Well, it was loong.",Ross,sadness,negative,958,0,1,1,"00:05:25,450","00:05:30,120",unmatched,0.4790,0.4390,1,"Well, it was loong.",258,,,,
train,13,201,Hey.,Joey,neutral,neutral,19,0,1,1,"0:10:11,861","0:10:14,990",unmatched,0.5855,0.5455,1,Hey.,258,,,,
train,14,202,Hey!,Phoebe,neutral,neutral,19,1,1,1,"0:10:14,990","0:10:15,133",unmatched,0.4255,0.5455,1,Hey!,258,,,,
train,15,1481,Oh my God!,Monica,surprise,negative,152,0,1,1,"00:10:22,204","00:10:24,289",exact,1.0000,1.0000,1,Oh my God!,84,128,128,Monica,Oh my God!
train,16,1482,"I know, I know, I'm such an idiot.",Paul,joy,positive,152,1,1,1,"00:10:24,498","00:10:28,793",unmatched,0.4083,0.5283,1,"I know, I know, I'm such an idiot.",173,,,,
train,17,1485,"My brother's going through that right now, he's such a mess. How did you get through it?",Monica,neutral,neutral,152,4,1,1,"00:10:36,427","00:10:40,680",exact,1.0000,1.0000,1,"My brother's going through that right now, he's such a mess. How did you get through it?",1,130,130,Monica,"My brother's going through that right now, he's such a mess. How did you get through it?"
train,18,1486,"Well, you might try accidentally breaking something valuable of hers, say her-",Paul,neutral,neutral,152,5,1,1,"00:10:40,890","00:10:44,392",exact,1.0000,1.0000,1,"Well, you might try accidentally breaking something valuable of hers, say her-",0,131,131,Paul,"Well, you might try accidentally breaking something valuable of hers, say her-"
train,19,1487,-leg?,Monica,neutral,neutral,152,6,1,1,"00:10:44,560","00:10:46,144",exact,1.0000,1.0000,1,-leg?,0,132,132,Monica,-leg?
train,20,1488,"That's one way! Me, I- I went for the watch.",Paul,neutral,neutral,152,7,1,1,"00:10:48,773","00:10:50,315",exact,1.0000,1.0000,1,"That's one way! Me, I- I went for the watch.",0,133,133,Paul,"That's one way! Me, I- I went for the watch."
train,21,1489,You actually broke her watch?,Monica,surprise,positive,152,8,1,1,"00:10:50,775","00:10:52,651",fuzzy,0.9800,0.9400,1,You actually broke her watch?,0,134,134,Monica,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
train,22,1492,"Barry, I'm sorry...",Rachel,sadness,negative,152,9,1,1,"0:10:53,277","0:10:54,737",fuzzy,0.9800,0.9400,3,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",2,137,137,Rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
train,23,1493,I am so sorry...,Rachel,sadness,negative,152,10,1,1,"0:10:54,737","0:10:56,422",fuzzy,0.9800,0.9400,3,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",2,137,137,Rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
train,24,1494,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",Rachel,sadness,negative,152,11,1,1,"00:10:56,614","00:11:06,706",fuzzy,0.9800,0.9400,3,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",2,137,137,Rachel,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
train,25,4790,"Hey, this-  Heyy...",Ross,joy,positive,485,0,1,1,"00:13:13,000","00:13:38,775",unmatched,0.4538,0.4138,1,"Hey, this-  Heyy...",164,,,,
dev,1,1064,Okay. Its Emma.,Monica,neutral,neutral,100,0,1,1,"00:13:23,916","00:13:26,460",unmatched,0.5248,0.4848,1,Okay. Its Emma.,164,,,,
train,26,4595,"Oh, look, wish me luck!",Rachel,joy,positive,467,0,1,1,"0:16:45,504","0:16:46,088",exact,1.0000,1.0000,1,"Oh, look, wish me luck!",71,209,209,Rachel,"Oh, look, wish me luck!"
train,27,4596,What for?,Monica,neutral,neutral,467,1,1,1,"0:16:46,088","0:16:47,192",exact,1.0000,1.0000,1,What for?,0,210,210,Monica,What for?
train,28,4597,I'm gonna go get one of those  job things.,Rachel,neutral,neutral,467,2,1,1,"00:16:47,339","00:16:50,633",exact,1.0000,1.0000,1,I'm gonna go get one of those  job things.,0,211,211,Rachel,I'm gonna go get one of those job things.
train,29,795,Hi.,Ross,neutral,neutral,75,0,1,1,"00:19:28,917","00:19:30,251",fuzzy,1.0000,0.9684,2,"Hi. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",61,273,273,Ross,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
train,30,1600,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,fear,negative,164,0,1,1,"00:20:43,492","00:20:49,080",fuzzy,1.0000,0.9684,2,"Hi. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",61,273,273,Ross,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
train,31,1601,I knew.,Rachel,neutral,neutral,164,1,1,1,"00:20:50,540","00:20:51,707",exact,1.0000,1.0000,1,I knew.,0,274,274,Rachel,I knew.
train,32,1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross,surprise,positive,164,2,1,1,"00:20:52,084","00:20:58,138",exact,1.0000,1.0000,1,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,0,275,275,Ross,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
train,33,1603,I did.,Rachel,neutral,neutral,164,3,1,1,"0:20:58,882","0:20:59,684",exact,1.0000,1.0000,1,I did.,0,276,276,Rachel,I did.
train,34,1604,Oh.,Ross,sadness,negative,164,4,1,1,"0:20:59,684","0:21:00,931",unmatched,0.4036,0.3636,1,Oh.,25,,,,
train,35,8791,Oh really?!,Rachel,surprise,positive,880,0,1,1,"00:21:02,844","00:21:03,970",unmatched,0.3558,0.3158,1,Oh really?!,25,,,,
train,36,8792,Yeah. Did you tell someone that I was gay?,Tag,neutral,neutral,880,1,1,1,"00:21:04,338","00:21:06,597",unmatched,0.3067,0.4267,1,Yeah. Did you tell someone that I was gay?,25,,,,
train,37,1605,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",Ross,fear,negative,164,5,1,1,"00:21:05,514","00:21:16,983",fuzzy,0.9830,0.9430,1,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",0,277,277,Ross,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
train,38,8793,"Oh, did you not want people to know that?",Rachel,joy,positive,880,2,1,1,"00:21:06,807","00:21:10,142",unmatched,0.3878,0.3478,1,"Oh, did you not want people to know that?",24,,,,
train,39,1606,Sometime?,Ross,neutral,neutral,164,6,1,1,"0:21:13,105","0:21:15,817",unmatched,0.4633,0.5833,1,Sometime? Maybe?,24,,,,
train,40,1607,Maybe?,Ross,neutral,neutral,164,7,1,1,"0:21:15,817","0:21:17,031",unmatched,0.5467,0.6667,1,Maybe?,24,,,,
train,41,1608,"Yeah, maybe...",Rachel,joy,positive,164,8,1,1,"00:21:18,235","00:21:21,821",exact,1.0000,1.0000,1,"Yeah, maybe...",0,278,278,Rachel,"Yeah, maybe..."
train,42,1609,"Okay... okay, maybe I will...",Ross,joy,positive,164,9,1,1,"00:21:20,529","00:21:31,872",exact,1.0000,1.0000,1,"Okay... okay, maybe I will...",0,279,279,Ross,"Okay... okay, maybe I will..."
test,2,2731,Whats the matter?,Monica,sadness,negative,277,0,1,2,"00:00:04,546","00:00:07,214",unmatched,0.6178,0.5778,1,Whats the matter?,243,,,,
test,3,2179,"Hi, remember us?",Rachel,neutral,neutral,221,0,1,2,"00:05:40,965","00:05:42,716",unmatched,0.5286,0.6486,1,"Hi, remember us?",243,,,,
train,43,8731,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",Mrs. Geller,sadness,negative,872,0,1,2,"00:09:26,816","00:09:32,821",exact,1.0000,1.0000,1,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",97,98,399,Mrs. Geller,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well."
train,44,8732,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,Mr. Geller,surprise,negative,872,1,1,2,"00:09:33,030","00:09:38,034",exact,1.0000,1.0000,1,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,0,99,400,Mr. Geller,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
train,45,8733,"Well, at least she had the chance to leave a man at the altar...",Mrs. Geller,joy,positive,872,2,1,2,"00:09:40,997","00:09:44,666",exact,1.0000,1.0000,1,"Well, at least she had the chance to leave a man at the altar...",0,100,401,Mrs. Geller,"Well, at least she had the chance to leave a man at the altar..."
train,46,8734,What's that supposed to mean?,Monica,surprise,positive,872,3,1,2,"00:09:47,837","00:09:50,589",exact,1.0000,1.0000,1,What's that supposed to mean?,0,101,402,Monica,What's that supposed to mean?
train,47,8735,Nothing! It's an expression.,Mrs. Geller,neutral,neutral,872,4,1,2,"0:09:50,798","0:09:52,530",exact,1.0000,1.0000,1,Nothing! It's an expression.,0,102,403,Mrs. Geller,Nothing! It's an expression.
train,48,8736,No it's not.,Monica,neutral,neutral,872,5,1,2,"0:09:52,530","0:09:54,148",exact,1.0000,1.0000,1,No it's not.,0,103,404,Monica,No it's not.
train,49,8737,Don't listen to your mother.,Mr. Geller,neutral,neutral,872,6,1,2,"00:09:54,302","00:09:55,468",exact,1.0000,1.0000,4,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",0,104,405,Mr. Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
train,50,8738,"You're independent, and you always have been!",Mr. Geller,neutral,neutral,872,7,1,2,"00:09:55,678","00:09:57,637",exact,1.0000,1.0000,4,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",0,104,405,Mr. Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
train,51,8739,"Even when you were a kid... and you were chubby, and you had no friends, you were just fine!",Mr. Geller,neutral,neutral,872,8,1,2,"00:09:57,847","00:10:03,351",exact,1.0000,1.0000,4,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",0,104,405,Mr. Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
train,52,8740,"And you would read alone in your room, and your puzzles...",Mr. Geller,neutral,neutral,872,9,1,2,"00:10:05,146","00:10:08,273",exact,1.0000,1.0000,4,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",0,104,405,Mr. Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
test,4,2180,"Um, okay. You just called a little while ago about needing a signature on the admissions form. Well, it turns out we need a",Monica,neutral,neutral,221,1,1,2,"00:10:46,187","00:10:56,863",unmatched,0.3842,0.3442,1,"Um, okay. You just called a little while ago about needing a signature on the admissions form. Well, it turns out we need a",139,,,,
dev,2,1066,Take it.,Monica,neutral,neutral,102,0,1,2,"0:13:40,766","0:13:42,477",unmatched,0.3800,0.5000,1,Take it.,139,,,,
dev,3,1067,What?,Rachel,neutral,neutral,102,1,1,2,"0:13:42,477","0:13:43,955",exact,1.0000,1.0000,1,What?,95,200,501,Rachel,What?
test,5,2181,I am. I'm,Monica,neutral,neutral,221,2,1,2,"00:14:35,624","00:14:37,876",unmatched,0.4686,0.4286,1,I am. I'm,43,,,,
train,53,2945,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross,neutral,neutral,296,0,1,2,"00:14:38,085","00:14:41,546",unmatched,0.3864,0.3464,1,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",43,,,,
train,54,2946,Hi.,Susan,neutral,neutral,296,1,1,2,"00:14:42,631","00:14:44,173",unmatched,0.1829,0.1429,1,Hi.,43,,,,
train,55,2947,"Ross, you remember Susan.",Carol,neutral,neutral,296,2,1,2,"0:14:44,758","0:14:46,690",unmatched,0.3733,0.3333,1,"Ross, you remember Susan.",43,,,,
train,56,2948,How could I forget?,Ross,surprise,positive,296,3,1,2,"0:14:46,690","0:14:47,832",unmatched,0.4121,0.3721,1,How could I forget?,43,,,,
train,57,2949,Ross.,Susan,neutral,neutral,296,4,1,2,"0:14:47,832","0:14:47,971",unmatched,0.2133,0.3333,1,Ross.,43,,,,
train,58,2950,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",Ross,anger,negative,296,5,1,2,"00:14:49,471","00:14:56,728",unmatched,0.4078,0.3678,1,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",43,,,,
train,59,2951,Dr. Oberman.,Carol,neutral,neutral,296,6,1,2,"0:14:56,937","0:14:57,829",unmatched,0.3042,0.4242,1,Dr. Oberman.,43,,,,
train,60,2952,..Dr. Oberman. Okay. And is he-,Ross,neutral,neutral,296,7,1,2,"0:14:57,829","0:14:59,285",unmatched,0.4567,0.4167,1,..Dr. Oberman. Okay. And is he-,43,,,,
train,61,2953,She.,Susan,neutral,neutral,296,8,1,2,"00:14:59,440","00:15:01,983",unmatched,0.3800,0.5000,1,She.,43,,,,
train,62,2954,"-she, of course, she- uh- familiar with our.. special situation?",Ross,neutral,neutral,296,9,1,2,"00:14:59,440","00:15:07,196",unmatched,0.4019,0.3619,1,"-she, of course, she- uh- familiar with our.. special situation?",43,,,,
train,63,2955,"Yes, and she's very supportive.",Carol,neutral,neutral,296,10,1,2,"00:15:07,406","00:15:09,240",unmatched,0.3733,0.3333,1,"Yes, and she's very supportive.",43,,,,
train,64,2956,"Okay, that's great.  No, I'm- Oh.",Ross,joy,positive,296,11,1,2,"00:15:09,450","00:15:14,704",unmatched,0.4468,0.4068,1,"Okay, that's great.  No, I'm- Oh.",43,,,,
train,65,2957,Thanks.,Carol,neutral,neutral,296,12,1,2,"00:15:15,706","00:15:17,165",unmatched,0.5467,0.6667,1,Thanks.,43,,,,
train,66,2958,"Quack, quack..",Ross,neutral,neutral,296,13,1,2,"00:15:31,680","00:15:32,889",unmatched,0.4400,0.4000,1,"Quack, quack..",43,,,,
train,67,2959,Ross? That opens my cervix.,Carol,surprise,positive,296,14,1,2,"00:15:35,309","00:15:38,937",unmatched,0.4007,0.3607,1,Ross? That opens my cervix.,43,,,,
